Lipid Name,Lipid Unique Identifier,Precursor m/z,Precursor Retention Time (sec),Identification Charge,LMP,HMP,cf,neutromers_to_extract,literature_n,Adduct,Adduct_cf
Cer_NS d20:1_18:0_al,Cer_NS d20:1_18:0_al_37.576,576.5714741995849,2254.563199999998,1,,,C38H75NO3,3.0,,M+H-[H20],C38H74NO2
Cer_NS d20:1_18:0_al,Cer_NS d20:1_18:0_al_37.576,598.553418879585,2254.563199999998,1,,,C38H75NO3,3.0,,M+Na-[H2O],C38H73NO2Na
Cer_NS d20:1_18:0_al,Cer_NS d20:1_18:0_al_37.576,611.6085844995849,2254.563199999998,1,,,C38H75NO3,3.0,,M+NH4,C38H79N2O3
Cer_NS d20:1_18:0_al,Cer_NS d20:1_18:0_al_37.576,592.590196599585,2254.563199999998,1,,,C38H75NO3,3.0,,M+NH4-[H2O],C38H77N2O2
PC 16:0_17:1_al,PC 16:0_17:1_al_33.422,746.569275065666,2005.3255000000022,1,,,C41H80NO8P,3.0,,M+H,C41H81NO8P
PC 16:0_17:1_al,PC 16:0_17:1_al_33.422,768.551219745666,2005.3255000000022,1,,,C41H80NO8P,3.0,,M+Na,C41H80NO8PNa
PC 16:0_17:1_al,PC 16:0_17:1_al_33.422,728.558711765666,2005.3255000000022,1,,,C41H80NO8P,3.0,,M+H-[H20],C41H79NO7P
PC 16:0_17:1_al,PC 16:0_17:1_al_33.422,750.5406564456661,2005.3255000000022,1,,,C41H80NO8P,3.0,,M+Na-[H2O],C41H78NO7PNa
PC 16:0_17:1_al,PC 16:0_17:1_al_33.422,763.595822065666,2005.3255000000022,1,,,C41H80NO8P,3.0,,M+NH4,C41H84N2O8P
PC 16:0_17:1_al,PC 16:0_17:1_al_33.422,744.5774341656661,2005.3255000000022,1,,,C41H80NO8P,3.0,,M+NH4-[H2O],C41H82N2O7P
PC 17:0_18:1_al,PC 17:0_18:1_al_35.422,774.600593326718,2125.3272,1,,,C43H84NO8P,3.0,,M+H,C43H85NO8P
PC 17:0_18:1_al,PC 17:0_18:1_al_35.422,796.582538006718,2125.3272,1,,,C43H84NO8P,3.0,,M+Na,C43H84NO8PNa
PC 17:0_18:1_al,PC 17:0_18:1_al_35.422,756.590030026718,2125.3272,1,,,C43H84NO8P,3.0,,M+H-[H20],C43H83NO7P
PC 17:0_18:1_al,PC 17:0_18:1_al_35.422,778.571974706718,2125.3272,1,,,C43H84NO8P,3.0,,M+Na-[H2O],C43H82NO7PNa
PC 17:0_18:1_al,PC 17:0_18:1_al_35.422,791.627140326718,2125.3272,1,,,C43H84NO8P,3.0,,M+NH4,C43H88N2O8P
PC 17:0_18:1_al,PC 17:0_18:1_al_35.422,772.6087524267181,2125.3272,1,,,C43H84NO8P,3.0,,M+NH4-[H2O],C43H86N2O7P
TG 16:0_18:1_18:1_al,TG 16:0_18:1_18:1_al_40.651,859.7739456624361,2439.0303000000004,1,,,C55H102O6,3.0,,M+H,C55H103O6
TG 16:0_18:1_18:1_al,TG 16:0_18:1_18:1_al_40.651,881.755890342436,2439.0303000000004,1,,,C55H102O6,3.0,,M+Na,C55H102O6Na
TG 16:0_18:1_18:1_al,TG 16:0_18:1_18:1_al_40.651,841.763382362436,2439.0303000000004,1,,,C55H102O6,3.0,,M+H-[H20],C55H101O5
TG 16:0_18:1_18:1_al,TG 16:0_18:1_18:1_al_40.651,863.7453270424361,2439.0303000000004,1,,,C55H102O6,3.0,,M+Na-[H2O],C55H100O5Na
TG 16:0_18:1_18:1_al,TG 16:0_18:1_18:1_al_40.651,876.800492662436,2439.0303000000004,1,,,C55H102O6,3.0,,M+NH4,C55H106O6N
TG 16:0_18:1_18:1_al,TG 16:0_18:1_18:1_al_40.651,857.7821047624361,2439.0303000000004,1,,,C55H102O6,3.0,,M+NH4-[H2O],C55H104O5N
PE 18:0_20:1_al,PE 18:0_20:1_al_37.510,774.600491131108,2250.594,1,,,C43H84NO8P,3.0,,M+H,C43H85NO8P
PE 18:0_20:1_al,PE 18:0_20:1_al_37.510,796.582435811108,2250.594,1,,,C43H84NO8P,3.0,,M+Na,C43H84NO8PNa
PE 18:0_20:1_al,PE 18:0_20:1_al_37.510,756.589927831108,2250.594,1,,,C43H84NO8P,3.0,,M+H-[H20],C43H83NO7P
PE 18:0_20:1_al,PE 18:0_20:1_al_37.510,778.571872511108,2250.594,1,,,C43H84NO8P,3.0,,M+Na-[H2O],C43H82NO7PNa
PE 18:0_20:1_al,PE 18:0_20:1_al_37.510,791.627038131108,2250.594,1,,,C43H84NO8P,3.0,,M+NH4,C43H88N2O8P
PE 18:0_20:1_al,PE 18:0_20:1_al_37.510,772.6086502311081,2250.594,1,,,C43H84NO8P,3.0,,M+NH4-[H2O],C43H86N2O7P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_16.969,546.353482163665,1018.1202,1,,,C28H52NO7P,3.0,,M+H,C28H53NO7P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_16.969,568.335426843665,1018.1202,1,,,C28H52NO7P,3.0,,M+Na,C28H52NO7PNa
LPC 20:3/0:0_al,LPC 20:3/0:0_al_16.969,528.342918863665,1018.1202,1,,,C28H52NO7P,3.0,,M+H-[H20],C28H51NO6P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_16.969,550.3248635436651,1018.1202,1,,,C28H52NO7P,3.0,,M+Na-[H2O],C28H50NO6PNa
LPC 20:3/0:0_al,LPC 20:3/0:0_al_16.969,563.380029163665,1018.1202,1,,,C28H52NO7P,3.0,,M+NH4,C28H56N2O7P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_16.969,544.3616412636651,1018.1202,1,,,C28H52NO7P,3.0,,M+NH4-[H2O],C28H54N2O6P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_20.431,546.353482163665,1225.8401999999999,1,,,C28H52NO7P,3.0,,M+H,C28H53NO7P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_20.431,568.335426843665,1225.8401999999999,1,,,C28H52NO7P,3.0,,M+Na,C28H52NO7PNa
LPC 20:3/0:0_al,LPC 20:3/0:0_al_20.431,528.342918863665,1225.8401999999999,1,,,C28H52NO7P,3.0,,M+H-[H20],C28H51NO6P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_20.431,550.3248635436651,1225.8401999999999,1,,,C28H52NO7P,3.0,,M+Na-[H2O],C28H50NO6PNa
LPC 20:3/0:0_al,LPC 20:3/0:0_al_20.431,563.380029163665,1225.8401999999999,1,,,C28H52NO7P,3.0,,M+NH4,C28H56N2O7P
LPC 20:3/0:0_al,LPC 20:3/0:0_al_20.431,544.3616412636651,1225.8401999999999,1,,,C28H52NO7P,3.0,,M+NH4-[H2O],C28H54N2O6P
LPC 20:0/0:0_al,LPC 20:0/0:0_al_23.503,552.402483351956,1410.187399999998,1,,,C28H58NO7P,3.0,,M+H,C28H59NO7P
LPC 20:0/0:0_al,LPC 20:0/0:0_al_23.503,574.384428031956,1410.187399999998,1,,,C28H58NO7P,3.0,,M+Na,C28H58NO7PNa
LPC 20:0/0:0_al,LPC 20:0/0:0_al_23.503,534.3919200519559,1410.187399999998,1,,,C28H58NO7P,3.0,,M+H-[H20],C28H57NO6P
LPC 20:0/0:0_al,LPC 20:0/0:0_al_23.503,556.373864731956,1410.187399999998,1,,,C28H58NO7P,3.0,,M+Na-[H2O],C28H56NO6PNa
LPC 20:0/0:0_al,LPC 20:0/0:0_al_23.503,569.4290303519559,1410.187399999998,1,,,C28H58NO7P,3.0,,M+NH4,C28H62N2O7P
LPC 20:0/0:0_al,LPC 20:0/0:0_al_23.503,550.410642451956,1410.187399999998,1,,,C28H58NO7P,3.0,,M+NH4-[H2O],C28H60N2O6P
Cer_NS d18:1_24:1_al,Cer_NS d18:1_24:1_al_38.185,648.628455312619,2291.1156,1,,,C42H81NO3,3.0,,M+H,C42H82NO3
Cer_NS d18:1_24:1_al,Cer_NS d18:1_24:1_al_38.185,670.610399992619,2291.1156,1,,,C42H81NO3,3.0,,M+Na,C42H81NO3Na
Cer_NS d18:1_24:1_al,Cer_NS d18:1_24:1_al_38.185,630.617892012619,2291.1156,1,,,C42H81NO3,3.0,,M+H-[H20],C42H80NO2
Cer_NS d18:1_24:1_al,Cer_NS d18:1_24:1_al_38.185,652.5998366926191,2291.1156,1,,,C42H81NO3,3.0,,M+Na-[H2O],C42H79NO2Na
Cer_NS d18:1_24:1_al,Cer_NS d18:1_24:1_al_38.185,665.655002312619,2291.1156,1,,,C42H81NO3,3.0,,M+NH4,C42H85N2O3
Cer_NS d18:1_24:1_al,Cer_NS d18:1_24:1_al_38.185,646.6366144126191,2291.1156,1,,,C42H81NO3,3.0,,M+NH4-[H2O],C42H83N2O2
SM d18:1_18:0_al,SM d18:1_18:0_al_34.449,731.6065710864191,2066.921899999998,1,,,C41H83N2O6P,3.0,,M+H,C41H84N2O6P
